Instruction Name,Opcode,Instruction,64-bit validity,32-bit validity,CpuId Flags
VANDPD,EVEX.256.66.0F.W1 54 /r,"VANDPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512DQ
VANDPD,EVEX.512.66.0F.W1 54 /r,"VANDPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512DQ
ANDPS,NP 0F 54 /r,"ANDPS xmm1, xmm2/m128",V,V,SSE
VANDPS,VEX.128.0F 54 /r,"VANDPS xmm1,xmm2, xmm3/m128",V,V,AVX
VANDPS,VEX.256.0F 54 /r,"VANDPS ymm1, ymm2, ymm3/m256",V,V,AVX
VANDPS,EVEX.128.0F.W0 54 /r,"VANDPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512DQ
VANDPS,EVEX.256.0F.W0 54 /r,"VANDPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512DQ
VANDPS,EVEX.512.0F.W0 54 /r,"VANDPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512DQ
ANDNPD,66 0F 55 /r,"ANDNPD xmm1, xmm2/m128",V,V,SSE2
VANDNPD,VEX.128.66.0F 55 /r,"VANDNPD xmm1, xmm2, xmm3/m128",V,V,AVX
VANDNPD,VEX.256.66.0F 55 /r,"VANDNPD ymm1, ymm2, ymm3/m256",V,V,AVX
VANDNPD,EVEX.128.66.0F.W1 55 /r,"VANDNPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512DQ
VANDNPD,EVEX.256.66.0F.W1 55 /r,"VANDNPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512DQ
VANDNPD,EVEX.512.66.0F.W1 55 /r,"VANDNPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512DQ
ANDNPS,NP 0F 55 /r,"ANDNPS xmm1, xmm2/m128",V,V,SSE
VANDNPS,VEX.128.0F 55 /r,"VANDNPS xmm1, xmm2, xmm3/m128",V,V,AVX
VANDNPS,VEX.256.0F 55 /r,"VANDNPS ymm1, ymm2, ymm3/m256",V,V,AVX
VANDNPS,EVEX.128.0F.W0 55 /r,"VANDNPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512DQ
VANDNPS,EVEX.256.0F.W0 55 /r,"VANDNPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512DQ
VANDNPS,EVEX.512.0F.W0 55 /r,"VANDNPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512DQ
ARPL,63 /r,"ARPL r/m16, r16",N.E.,V,
BEXTR,VEX.LZ.0F38.W0 F7 /r,"BEXTR r32a, r/m32, r32b",V,V,BMI1
BEXTR,VEX.LZ.0F38.W1 F7 /r,"BEXTR r64a, r/m64, r64b",V,N.E.,BMI1
BLENDPD,66 0F 3A 0D /r /ib,"BLENDPD xmm1 , xmm2/m128, imm8",V,V,SSE4_1
VBLENDPD,VEX.128.66.0F3A.WIG 0D /r /ib,"VBLENDPD xmm1, xmm2, xmm3/m128, imm8",V,V,AVX
VBLENDPD,VEX.256.66.0F3A.WIG 0D /r /ib,"VBLENDPD ymm1, ymm2, ymm3/m256, imm8",V,V,AVX
BLENDPS,66 0F 3A 0C /r /ib,"BLENDPS xmm1, xmm2/m128, imm8",V,V,SSE4_1
VBLENDPS,VEX.128.66.0F3A.WIG 0C /r /ib,"VBLENDPS xmm1, xmm2, xmm3/m128, imm8",V,V,AVX
VBLENDPS,VEX.256.66.0F3A.WIG 0C /r /ib,"VBLENDPS ymm1, ymm2, ymm3/m256, imm8",V,V,AVX
BLENDVPD,66 0F 38 15 /r,"BLENDVPD xmm1, xmm2/m128 , <XMM0>",V,V,SSE4_1
VBLENDVPD,VEX.128.66.0F3A.W0 4B /r /is4,"VBLENDVPD xmm1, xmm2, xmm3/m128, xmm4",V,V,AVX
VBLENDVPD,VEX.256.66.0F3A.W0 4B /r /is4,"VBLENDVPD ymm1, ymm2, ymm3/m256, ymm4",V,V,AVX
BLENDVPS,66 0F 38 14 /r,"BLENDVPS xmm1, xmm2/m128, <XMM0>",V,V,SSE4_1
VBLENDVPS,VEX.128.66.0F3A.W0 4A /r /is4,"VBLENDVPS xmm1, xmm2, xmm3/m128, xmm4",V,V,AVX
VBLENDVPS,VEX.256.66.0F3A.W0 4A /r /is4,"VBLENDVPS ymm1, ymm2, ymm3/m256, ymm4",V,V,AVX
BLSI,VEX.LZ.0F38.W0 F3 /3,"BLSI r32, r/m32",V,V,BMI1
BLSI,VEX.LZ.0F38.W1 F3 /3,"BLSI r64, r/m64",V,N.E.,BMI1
BLSMSK,VEX.LZ.0F38.W0 F3 /2,"BLSMSK r32, r/m32",V,V,BMI1
BLSMSK,VEX.LZ.0F38.W1 F3 /2,"BLSMSK r64, r/m64",V,N.E.,BMI1
BLSR,VEX.LZ.0F38.W0 F3 /1,"BLSR r32, r/m32",V,V,BMI1
BLSR,VEX.LZ.0F38.W1 F3 /1,"BLSR r64, r/m64",V,N.E.,BMI1
BNDCL,F3 0F 1A /r,"BNDCL bnd, r/m32",N.E.,V,MPX
BNDCL,F3 0F 1A /r,"BNDCL bnd, r/m64",V,N.E.,MPX
BNDCU,F2 0F 1A /r,"BNDCU bnd, r/m32",N.E.,V,MPX
BNDCU,F2 0F 1A /r,"BNDCU bnd, r/m64",V,N.E.,MPX
BNDCN,F2 0F 1B /r,"BNDCN bnd, r/m32",N.E.,V,MPX
BNDCN,F2 0F 1B /r,"BNDCN bnd, r/m64",V,N.E.,MPX
BNDLDX,NP 0F 1A /r,"BNDLDX bnd, mib",V,V,MPX
BNDMK,F3 0F 1B /r,"BNDMK bnd, m32",N.E.,V,MPX
BNDMK,F3 0F 1B /r,"BNDMK bnd, m64",V,N.E.,MPX
BNDMOV,66 0F 1A /r,"BNDMOV bnd1, bnd2/m64",N.E.,V,MPX
BNDMOV,66 0F 1A /r,"BNDMOV bnd1, bnd2/m128",V,N.E.,MPX
BNDMOV,66 0F 1B /r,"BNDMOV bnd1/m64, bnd2",N.E.,V,MPX
BNDMOV,66 0F 1B /r,"BNDMOV bnd1/m128, bnd2",V,N.E.,MPX
BNDSTX,NP 0F 1B /r,"BNDSTX mib, bnd",V,V,MPX
BOUND,62 /r,"BOUND r16, m16&16",I,V,
BOUND,62 /r,"BOUND r32, m32&32",I,V,
BSF,0F BC /r,"BSF r16, r/m16",V,V,
BSF,0F BC /r,"BSF r32, r/m32",V,V,
BSF,REX.W 0F BC /r,"BSF r64, r/m64",V,N.E.,
BSR,0F BD /r,"BSR r16, r/m16",V,V,
BSR,0F BD /r,"BSR r32, r/m32",V,V,
BSR,REX.W 0F BD /r,"BSR r64, r/m64",V,N.E.,
BSWAP,0F C8 +rd,BSWAP r32,V,V,
BSWAP,REX.W 0F C8 +rd,BSWAP r64,V,N.E.,
BT,0F A3 /r,"BT r/m16, r16",V,V,
BT,0F A3 /r,"BT r/m32, r32",V,V,
BT,REX.W 0F A3 /r,"BT r/m64, r64",V,N.E.,
BT,0F BA /4 /ib,"BT r/m16, imm8",V,V,
BT,0F BA /4 /ib,"BT r/m32, imm8",V,V,
BT,REX.W 0F BA /4 /ib,"BT r/m64, imm8",V,N.E.,
BTC,0F BB /r,"BTC r/m16, r16",V,V,
BTC,0F BB /r,"BTC r/m32, r32",V,V,
BTC,REX.W 0F BB /r,"BTC r/m64, r64",V,N.E.,
BTC,0F BA /7 /ib,"BTC r/m16, imm8",V,V,
BTC,0F BA /7 /ib,"BTC r/m32, imm8",V,V,
BTC,REX.W 0F BA /7 /ib,"BTC r/m64, imm8",V,N.E.,
BTR,0F B3 /r,"BTR r/m16, r16",V,V,
BTR,0F B3 /r,"BTR r/m32, r32",V,V,
BTR,REX.W 0F B3 /r,"BTR r/m64, r64",V,N.E.,
BTR,0F BA /6 /ib,"BTR r/m16, imm8",V,V,
BTR,0F BA /6 /ib,"BTR r/m32, imm8",V,V,
BTR,REX.W 0F BA /6 /ib,"BTR r/m64, imm8",V,N.E.,
BTS,0F AB /r,"BTS r/m16, r16",V,V,
BTS,0F AB /r,"BTS r/m32, r32",V,V,
BTS,REX.W 0F AB /r,"BTS r/m64, r64",V,N.E.,
BTS,0F BA /5 /ib,"BTS r/m16, imm8",V,V,
BTS,0F BA /5 /ib,"BTS r/m32, imm8",V,V,
BTS,REX.W 0F BA /5 /ib,"BTS r/m64, imm8",V,N.E.,
BZHI,VEX.LZ.0F38.W0 F5 /r,"BZHI r32a, r/m32, r32b",V,V,BMI2
BZHI,VEX.LZ.0F38.W1 F5 /r,"BZHI r64a, r/m64, r64b",V,N.E.,BMI2
CALL,E8 cw,CALL rel16,N.S.,V,
CALL,E8 cd,CALL rel32,V,V,
CALL,FF /2,CALL r/m16,N.E.,V,
CALL,FF /2,CALL r/m32,N.E.,V,
CALL,FF /2,CALL r/m64,V,N.E.,
CALL,9A cd,CALL ptr16:16,I,V,
CALL,9A cp,CALL ptr16:32,I,V,
CALL,FF /3,CALL m16:16,V,V,
CALL,FF /3,CALL m16:32,V,V,
CALL,REX.W FF /3,CALL m16:64,V,N.E.,
CBW,98,CBW,V,V,
CWDE,98,CWDE,V,V,
CDQE,REX.W 98,CDQE,V,N.E.,
CLAC,NP 0F 01 CA,CLAC,V,V,SMAP
CLC,F8,CLC,V,V,
CLD,FC,CLD,V,V,
CLDEMOTE,NP 0F 1C /0,CLDEMOTE m8,V,V,CLDEMOTE
CLFLUSH,NP 0F AE /7,CLFLUSH m8,V,V,
CLFLUSHOPT,NFx 66 0F AE /7,CLFLUSHOPT m8,V,V,
CLI,FA,CLI,V,V,
CLTS,0F 06,CLTS,V,V,
CLWB,66 0F AE /6,CLWB m8,V,V,CLWB
CMC,F5,CMC,V,V,
CMOVA,0F 47 /r,"CMOVA r16, r/m16",V,V,
CMOVA,0F 47 /r,"CMOVA r32, r/m32",V,V,
CMOVA,REX.W 0F 47 /r,"CMOVA r64, r/m64",V,N.E.,
CMOVAE,0F 43 /r,"CMOVAE r16, r/m16",V,V,
CMOVAE,0F 43 /r,"CMOVAE r32, r/m32",V,V,
CMOVAE,REX.W 0F 43 /r,"CMOVAE r64, r/m64",V,N.E.,
CMOVB,0F 42 /r,"CMOVB r16, r/m16",V,V,
CMOVB,0F 42 /r,"CMOVB r32, r/m32",V,V,
CMOVB,REX.W 0F 42 /r,"CMOVB r64, r/m64",V,N.E.,
CMOVBE,0F 46 /r,"CMOVBE r16, r/m16",V,V,
CMOVBE,0F 46 /r,"CMOVBE r32, r/m32",V,V,
CMOVBE,REX.W 0F 46 /r,"CMOVBE r64, r/m64",V,N.E.,
CMOVC,0F 42 /r,"CMOVC r16, r/m16",V,V,
CMOVC,0F 42 /r,"CMOVC r32, r/m32",V,V,
CMOVC,REX.W 0F 42 /r,"CMOVC r64, r/m64",V,N.E.,
CMOVE,0F 44 /r,"CMOVE r16, r/m16",V,V,
CMOVE,0F 44 /r,"CMOVE r32, r/m32",V,V,
CMOVE,REX.W 0F 44 /r,"CMOVE r64, r/m64",V,N.E.,
CMOVG,0F 4F /r,"CMOVG r16, r/m16",V,V,
CMOVG,0F 4F /r,"CMOVG r32, r/m32",V,V,
CMOVG,REX.W 0F 4F /r,"CMOVG r64, r/m64",V,N.A.,
CMOVGE,0F 4D /r,"CMOVGE r16, r/m16",V,V,
CMOVGE,0F 4D /r,"CMOVGE r32, r/m32",V,V,
CMOVGE,REX.W 0F 4D /r,"CMOVGE r64, r/m64",V,N.E.,
CMOVL,0F 4C /r,"CMOVL r16, r/m16",V,V,
CMOVL,0F 4C /r,"CMOVL r32, r/m32",V,V,
CMOVL,REX.W 0F 4C /r,"CMOVL r64, r/m64",V,N.E.,
CMOVLE,0F 4E /r,"CMOVLE r16, r/m16",V,V,
CMOVLE,0F 4E /r,"CMOVLE r32, r/m32",V,V,
CMOVLE,REX.W 0F 4E /r,"CMOVLE r64, r/m64",V,N.E.,
CMOVNA,0F 46 /r,"CMOVNA r16, r/m16",V,V,
CMOVNA,0F 46 /r,"CMOVNA r32, r/m32",V,V,
CMOVNA,REX.W 0F 46 /r,"CMOVNA r64, r/m64",V,N.E.,
CMOVNAE,0F 42 /r,"CMOVNAE r16, r/m16",V,V,
CMOVNAE,0F 42 /r,"CMOVNAE r32, r/m32",V,V,
CMOVNAE,REX.W 0F 42 /r,"CMOVNAE r64, r/m64",V,N.E.,
CMOVNB,0F 43 /r,"CMOVNB r16, r/m16",V,V,
CMOVNB,0F 43 /r,"CMOVNB r32, r/m32",V,V,
CMOVNB,REX.W 0F 43 /r,"CMOVNB r64, r/m64",V,N.E.,
CMOVNBE,0F 47 /r,"CMOVNBE r16, r/m16",V,V,
CMOVNBE,0F 47 /r,"CMOVNBE r32, r/m32",V,V,
CMOVNBE,REX.W 0F 47 /r,"CMOVNBE r64, r/m64",V,N.E.,
CMOVNC,0F 43 /r,"CMOVNC r16, r/m16",V,V,
CMOVNC,0F 43 /r,"CMOVNC r32, r/m32",V,V,
CMOVNC,REX.W 0F 43 /r,"CMOVNC r64, r/m64",V,N.E.,
CMOVNE,0F 45 /r,"CMOVNE r16, r/m16",V,V,
CMOVNE,0F 45 /r,"CMOVNE r32, r/m32",V,V,
CMOVNE,REX.W 0F 45 /r,"CMOVNE r64, r/m64",V,N.E.,
CMOVNG,0F 4E /r,"CMOVNG r16, r/m16",V,V,
CMOVNG,0F 4E /r,"CMOVNG r32, r/m32",V,V,
CMOVNG,REX.W 0F 4E /r,"CMOVNG r64, r/m64",V,N.E.,
CMOVNGE,0F 4C /r,"CMOVNGE r16, r/m16",V,V,
CMOVNGE,0F 4C /r,"CMOVNGE r32, r/m32",V,V,
CMOVNGE,REX.W 0F 4C /r,"CMOVNGE r64, r/m64",V,N.E.,
CMOVNL,0F 4D /r,"CMOVNL r16, r/m16",V,V,
CMOVNL,0F 4D /r,"CMOVNL r32, r/m32",V,V,
CMOVNL,REX.W 0F 4D /r,"CMOVNL r64, r/m64",V,N.E.,
CMOVNLE,0F 4F /r,"CMOVNLE r16, r/m16",V,V,
CMOVNLE,0F 4F /r,"CMOVNLE r32, r/m32",V,V,
CMOVNLE,REX.W 0F 4F /r,"CMOVNLE r64, r/m64",V,N.E.,
CMOVNO,0F 41 /r,"CMOVNO r16, r/m16",V,V,
CMOVNO,0F 41 /r,"CMOVNO r32, r/m32",V,V,
CMOVNO,REX.W 0F 41 /r,"CMOVNO r64, r/m64",V,N.E.,
CMOVNP,0F 4B /r,"CMOVNP r16, r/m16",V,V,
CMOVNP,0F 4B /r,"CMOVNP r32, r/m32",V,V,
CMOVNP,REX.W 0F 4B /r,"CMOVNP r64, r/m64",V,N.E.,
CMOVNS,0F 49 /r,"CMOVNS r16, r/m16",V,V,
CMOVNS,0F 49 /r,"CMOVNS r32, r/m32",V,V,
CMOVNS,REX.W 0F 49 /r,"CMOVNS r64, r/m64",V,N.E.,
CMOVNZ,0F 45 /r,"CMOVNZ r16, r/m16",V,V,
CMOVNZ,0F 45 /r,"CMOVNZ r32, r/m32",V,V,
CMOVNZ,REX.W 0F 45 /r,"CMOVNZ r64, r/m64",V,N.E.,
CMOVO,0F 40 /r,"CMOVO r16, r/m16",V,V,
CMOVO,0F 40 /r,"CMOVO r32, r/m32",V,V,
CMOVO,REX.W 0F 40 /r,"CMOVO r64, r/m64",V,N.E.,
CMOVP,0F 4A /r,"CMOVP r16, r/m16",V,V,
CMOVP,0F 4A /r,"CMOVP r32, r/m32",V,V,
CMOVP,REX.W 0F 4A /r,"CMOVP r64, r/m64",V,N.E.,
CMOVPE,0F 4A /r,"CMOVPE r16, r/m16",V,V,
CMOVPE,0F 4A /r,"CMOVPE r32, r/m32",V,V,
CMOVPE,REX.W 0F 4A /r,"CMOVPE r64, r/m64",V,N.E.,
CMOVPO,0F 4B /r,"CMOVPO r16, r/m16",V,V,
CMOVPO,0F 4B /r,"CMOVPO r32, r/m32",V,V,
CMOVPO,REX.W 0F 4B /r,"CMOVPO r64, r/m64",V,N.E.,
CMOVS,0F 48 /r,"CMOVS r16, r/m16",V,V,
CMOVS,0F 48 /r,"CMOVS r32, r/m32",V,V,
CMOVS,REX.W 0F 48 /r,"CMOVS r64, r/m64",V,N.E.,
CMOVZ,0F 44 /r,"CMOVZ r16, r/m16",V,V,
CMOVZ,0F 44 /r,"CMOVZ r32, r/m32",V,V,
CMOVZ,REX.W 0F 44 /r,"CMOVZ r64, r/m64",V,N.E.,
CMP,3C /ib,"CMP AL, imm8",V,V,
CMP,3D iw,"CMP AX, imm16",V,V,
CMP,3D id,"CMP EAX, imm32",V,V,
CMP,REX.W 3D id,"CMP RAX, imm32",V,N.E.,
CMP,80 /7 /ib,"CMP r/m8, imm8",V,V,
CMP,REX 80 /7 /ib,"CMP r/m8 , imm8",V,N.E.,
CMP,81 /7 iw,"CMP r/m16, imm16",V,V,
CMP,81 /7 id,"CMP r/m32, imm32",V,V,
CMP,REX.W 81 /7 id,"CMP r/m64, imm32",V,N.E.,
CMP,83 /7 /ib,"CMP r/m16, imm8",V,V,
CMP,83 /7 /ib,"CMP r/m32, imm8",V,V,
CMP,REX.W 83 /7 /ib,"CMP r/m64, imm8",V,N.E.,
CMP,38 /r,"CMP r/m8, r8",V,V,
CMP,REX 38 /r,"CMP r/m8 , r8",V,N.E.,
CMP,39 /r,"CMP r/m16, r16",V,V,
CMP,39 /r,"CMP r/m32, r32",V,V,
CMP,REX.W 39 /r,"CMP r/m64,r64",V,N.E.,
CMP,3A /r,"CMP r8, r/m8",V,V,
CMP,REX 3A /r,"CMP r8 , r/m8",V,N.E.,
CMP,3B /r,"CMP r16, r/m16",V,V,
CMP,3B /r,"CMP r32, r/m32",V,V,
CMP,REX.W 3B /r,"CMP r64, r/m64",V,N.E.,
CMPPD,66 0F C2 /r /ib,"CMPPD xmm1, xmm2/m128, imm8",V,V,SSE2
VCMPPD,VEX.128.66.0F.WIG C2 /r /ib,"VCMPPD xmm1, xmm2, xmm3/m128, imm8",V,V,AVX
